Order #,SB #,SKU,Item Description,Model,Qty,Category,Unit Retail,Ext. Retail,Brand,UPC,Department,Product Class,Subcategory
1176354,777726,1001536198,Balboa Venetian Bronze Keyed Entry Door Lever,94050-496,1,HARDWARE AND TOOLS,36.05,36.05,Kwikset,,Hardware,,Door Handles
1176354,777726,1003097320,1/4 in. Straight Die Grinder,H4220,1,HARDWARE AND TOOLS,35.97,35.97,Husky,,Tools,,Air Tools
1176354,778005,1004470514,Venetian Bronze Single Cylinder Deadbolt featuring SmartKey Security with Microban Antimicrobial Technology,99800-122,1,HARDWARE AND TOOLS,35.95,35.95,Kwikset,,Hardware,,Door Locks
1176354,777726,1004470514,Venetian Bronze Single Cylinder Deadbolt featuring SmartKey Security with Microban Antimicrobial Technology,99800-122,1,HARDWARE AND TOOLS,35.95,35.95,Kwikset,,Hardware,,Door Locks
1176354,777726,1004718224,25 ft. x 1-5/16 in. Gen II STUD Magnetic Tape Measure with 17 ft. Reach,48-22-9725M,1,HARDWARE AND TOOLS,35.88,35.88,Milwaukee,,Tools,,Measuring Tools
1176354,778005,637331,HUSKY TAMPRPRF TORX 8PC BIT SCKT SET (Please be advised that sets may be missing pieces or otherwise incomplete.),HTPTXBS8PCSR,2,HARDWARE AND TOOLS,17.93,35.86,,,,,
1176354,777726,1003184677,25 ft. Compact Auto Lock Tape Measure,48-22-6825,2,HARDWARE AND TOOLS,17.85,35.7,Milwaukee,,Tools,,Measuring Tools
1176354,778005,795203,"""HUSKY 7PC 3/8"""" DR MM LNG BALL SCKTS"" (Please be advised that sets may be missing pieces or otherwise incomplete.)",H3DMMLBBS7PC,2,HARDWARE AND TOOLS,17.82,35.64,,,,,
1176354,778005,1006303088,Halifax Square Satin Nickel Hall/Closet Door Lever,97200-854,1,HARDWARE AND TOOLS,35.5,35.5,Kwikset,,Hardware,,Door Handles
1176354,778005,1006387527,Halifax Square Matte Black Hall/Closet Passage Door Lever,97200-906,1,HARDWARE AND TOOLS,35.5,35.5,Kwikset,,Hardware,,Door Handles
1176354,778005,1006295211,Professional 2 Amp Automotive Battery Charger and Maintainer,DXAEC2,1,HARDWARE AND TOOLS,35.42,35.42,DEWALT,,Automotive,,Car Battery Chargers
1176354,777726,1002067437,Pacifica In-Ground Steel Mailbox Post Black,7516B-10,1,HARDWARE AND TOOLS,35.35,35.35,Architectural Mailboxes,,Hardware,,Mailbox Posts & Stands
1176354,778005,1005597942,1/2 in. Drive 100-Position Chrome Locking Flex-Head Ratchet,H100C12FLRATN,1,HARDWARE AND TOOLS,35.32,35.32,Husky,,Tools,,Ratchets & Sockets
